location_state,response,coverage,education,employmentstatus,gender,income,location_code,marital_status,monthly_premium_auto,months_since_last_claim,months_since_policy_inception,number_of_open_complaints,number_of_policies,policy_type,policy,renew_offer_type,sales_channel,total_claim_amount,vehicle_class,vehicle_size,high_value,probability_high_value,Campaign_A
California,No,Basic,Master,Employed,M,98796,Suburban,Married,104,22,32,0,3,Personal Auto,Personal L3,Offer4,Agent,499.2,SUV,Medsize,1,0.5156390313686589,Yes
Oregon,No,Basic,College,Employed,F,58828,Suburban,Married,68,13,98,0,1,Personal Auto,Personal L3,Offer1,Agent,446.751243,Four-Door Car,Small,0,0.0,No
Washington,No,Basic,College,Employed,F,67326,Suburban,Married,69,17,32,0,2,Corporate Auto,Corporate L1,Offer1,Agent,331.2,Four-Door Car,Medsize,1,0.5155241694774528,Yes
Arizona,No,Extended,College,Unemployed,M,0,Suburban,Single,76,11,38,0,1,Corporate Auto,Corporate L3,Offer4,Call Center,547.2,Two-Door Car,Medsize,0,0.0,No
California,No,Extended,College,Employed,M,26488,Suburban,Divorced,247,21,39,0,7,Personal Auto,Personal L2,Offer1,Web,1321.584957,Luxury SUV,Medsize,1,0.517044582039664,Yes
Oregon,No,Basic,College,Disabled,M,20545,Suburban,Single,70,23,86,0,2,Personal Auto,Personal L2,Offer3,Agent,336.0,Two-Door Car,Medsize,1,0.5117354775527304,Yes
Oregon,Yes,Basic,College,Employed,F,50071,Rural,Single,71,3,32,0,1,Corporate Auto,Corporate L3,Offer2,Agent,18.918935,Two-Door Car,Medsize,0,0.0,No
Oregon,No,Basic,Master,Retired,F,26161,Suburban,Single,109,8,70,0,1,Personal Auto,Personal L3,Offer3,Branch,594.4445860000002,Sports Car,Large,0,0.0,No
California,No,Basic,Bachelor,Employed,M,67454,Suburban,Married,185,3,71,0,1,Personal Auto,Personal L1,Offer2,Agent,1332.0,Luxury Car,Large,1,0.5126581214082311,Yes
Arizona,No,Basic,Bachelor,Employed,F,68236,Rural,Married,114,2,75,0,6,Personal Auto,Personal L3,Offer2,Agent,20.725611,SUV,Medsize,1,0.5121989182483008,Yes
Arizona,No,Extended,Master,Employed,F,33288,Urban,Married,86,1,27,2,9,Personal Auto,Personal L3,Offer1,Branch,221.856184,Four-Door Car,Medsize,1,0.5123554601238363,Yes
Washington,No,Extended,High School or Below,Employed,M,74422,Rural,Divorced,85,4,3,1,3,Personal Auto,Personal L1,Offer1,Call Center,95.338505,Four-Door Car,Medsize,1,0.5151724886067488,Yes
Nevada,No,Extended,College,Employed,F,24019,Rural,Married,79,14,27,0,1,Personal Auto,Personal L3,Offer3,Branch,47.22861,Four-Door Car,Medsize,0,0.0,No
Arizona,No,Basic,Master,Employed,F,57963,Rural,Divorced,61,11,63,0,1,Personal Auto,Personal L3,Offer2,Web,42.160829,Four-Door Car,Medsize,0,0.0,No
California,No,Extended,College,Employed,F,36464,Rural,Married,78,5,17,0,7,Personal Auto,Personal L1,Offer4,Call Center,93.515817,Four-Door Car,Medsize,1,0.5148517911430952,Yes
