loan_amnt,int_rate,annual_inc,dti,fico_range_low,total_acc,acc_open_past_24mths,probability_fully_paid
10400,6.99,58000,14.92,710,36,7,0.878562086518994
7650,13.66,50000,34.81,685,20,6,0.860848646630193
9600,13.66,69000,25.81,680,44,8,0.86645221198365
2500,11.99,89000,13.77,685,32,6,0.869638685185011
23325,14.31,72000,27.03,665,23,6,0.856812767192025
5250,11.44,26000,14.36,745,13,4,0.894588806279814
10000,11.99,90000,8.44,675,10,0,0.855728278393837
12975,17.86,60000,22.42,680,19,7,0.840475080200829
17000,13.66,75000,23.63,675,31,2,0.852893090402054
6000,10.49,120000,6.87,660,48,5,0.884745685276841
2000,14.99,32200,22.14,670,21,6,0.890706829912799
3000,10.49,60000,9.54,680,18,2,0.891035897262152
2000,15.99,37000,16.19,700,22,6,0.881760796944295
2000,14.31,52000,5.98,680,8,3,0.894960784729156
1000,12.39,60000,18.38,705,29,4,0.89327047145532
6000,14.99,20000,14.99,665,25,6,0.857260125902905
18000,11.99,70000,9.11,710,13,2,0.882535980991878
2000,12.99,21312,5.46,710,20,3,0.882187903225005
10800,9.49,42000,18.89,675,30,10,0.884687366091677
18450,14.31,108000,23.37,680,20,8,0.841042401968594
4000,15.99,50000,33.99,665,23,7,0.856412993832403
5000,10.49,52000,14.35,660,39,5,0.883870874762489
9600,7.49,42000,11.51,715,22,5,0.894588806279814
3625,16.49,75000,17.71,710,12,3,0.862388681391093
15000,10.49,84000,19.73,690,77,12,0.894463091840552
21000,8.67,120000,19.21,685,14,3,0.892346480154606
8000,12.39,70000,11.91,700,10,3,0.86812051444047
5675,12.39,50000,15.55,695,15,3,0.883386543988154
6825,15.99,19000,26.06,730,9,3,0.862523646725522
3000,8.19,85000,11.97,680,19,2,0.891035897262152
8000,10.49,94000,22.33,695,58,11,0.879563017561102
5000,12.99,95000,20.21,670,24,2,0.866812054699571
4200,6.99,55000,21.3,775,18,3,0.895490590069261
14000,16.49,45000,13.47,660,22,14,0.817720326521207
2400,14.31,35000,24.45,665,15,1,0.891636503612252
18000,11.44,45000,8.54,670,26,6,0.889944265199885
24000,11.44,80000,26.2,685,44,7,0.875618686637047
20000,11.99,100000,24.7,740,26,1,0.886999582477077
4500,14.99,34000,28.77,660,51,6,0.855596424719549
5000,14.99,32000,38.86,670,20,5,0.863094033098482
10000,14.99,75000,19.33,690,59,5,0.86595663434057
8750,21.99,81200,29.38,680,37,10,0.809827903536707
6000,11.99,42000,11.03,695,25,1,0.887392867444155
2400,8.19,42500,33.21,765,41,5,0.888726288024808
12000,12.99,82000,15.1,670,25,4,0.863776849532542
4600,10.49,40000,29.33,660,22,5,0.876203215088152
6400,10.49,45800,23.45,705,24,5,0.876936314770545
18000,15.99,43000,13.86,720,27,8,0.830629836266842
24000,9.49,155000,15.23,755,26,0,0.896911491244377
2800,9.49,109000,24.69,725,40,6,0.890024422329711
15000,13.66,45000,33.2,695,16,5,0.88097612851926
13000,11.44,48000,23.58,690,16,6,0.877422491045299
35000,17.86,78800,10.94,705,24,4,0.876450394236724
35000,9.49,385000,18.03,690,45,8,0.892432065422617
5000,14.31,100000,21.64,670,32,3,0.861142055412926
8000,12.39,50000,15.45,665,14,6,0.867680707126932
4800,13.66,52080,7.47,680,8,3,0.869115027140512
22500,15.59,65000,28.31,670,16,3,0.870610431965478
16375,18.54,75000,24.4,700,24,8,0.818473518948491
3000,15.99,35000,20.07,665,23,1,0.852497191040386
8000,16.49,39926,14.07,710,22,13,0.82530431729382
6700,14.31,21000,19.94,670,6,3,0.836145510548721
3000,14.99,65000,18.54,670,18,5,0.865554717076757
18700,10.49,80000,15.97,690,21,4,0.893918146366147
7000,11.99,45000,20.48,710,15,8,0.881624015477489
21000,11.44,148000,14.79,700,28,3,0.892346480154606
13400,6.99,113000,5.55,705,39,3,0.887908577498904
1000,11.44,83000,25.12,745,44,5,0.890024422329711
15000,8.19,66000,28.17,685,21,3,0.876732466792322
7500,14.99,25000,15.94,720,12,3,0.851898760783647
5500,10.49,16344,16.27,690,30,2,0.858665666712355
5000,12.39,45000,22.42,660,21,7,0.862480973305567
10375,13.66,29000,35.64,715,18,2,0.857745913462381
16000,12.99,80000,22.32,660,46,3,0.81543319191169
28000,14.99,95000,21.12,690,42,11,0.881465462011158
5600,13.66,92000,16.29,690,25,5,0.86390090961855
3000,14.31,133000,14.13,710,32,5,0.868250349174823
5000,12.39,65000,11.39,670,15,9,0.831377058461568
2400,16.49,70000,10.61,660,41,10,0.882216902446493
14575,11.99,55000,23,685,21,5,0.848740403304128
6150,17.86,65000,17.82,670,17,6,0.886933783662144
12000,12.39,100000,7.21,700,18,3,0.883880703818712
17500,9.49,35000,26.58,755,20,0,0.888726288024808
35000,18.54,72000,16.33,710,26,4,0.874383440094874
12000,11.44,68000,12.97,670,21,1,0.891186285868082
33950,23.99,125000,15.99,710,17,3,0.862738549061865
10000,9.49,35000,25.99,665,21,2,0.876203215088152
8250,15.59,23000,10.91,720,9,0,0.762916251406841
4200,8.67,34000,31.25,720,28,5,0.888726288024808
23475,15.99,56000,10.33,695,21,0,0.82641990796946
2000,14.31,32000,19.17,695,18,5,0.896372190490642
28000,14.99,115000,16.63,665,20,0,0.877314186879518
3375,15.59,24000,29.05,670,52,16,0.77804073135212
5000,11.99,34652,20.47,670,28,1,0.863037384530666
