fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,ph,sulphates,alcohol,predicted_quality
8.6,0.49,0.29,2,0.11,19,133,0.9972,2.93,1.98,9.8,6.50506781609506
8,0.18,0.37,0.9,0.049,36,109,0.99007,2.89,0.44,12.7,6.65427236983718
6.8,0.67,0,1.9,0.08,22,39,0.99701,3.4,0.74,9.7,5.35208865180066
10.1,0.31,0.35,1.6,0.075,9,28,0.99672,3.24,0.83,11.2,6.37798932225415
7.3,0.45,0.36,5.9,0.074,12,87,0.9978,3.33,0.83,10.5,5.83498555301784
8.4,0.34,0.42,2.1,0.072,23,36,0.99392,3.11,0.78,12.4,6.69774395479839
8.8,0.41,0.64,2.2,0.093,9,42,0.9986,3.54,0.66,10.5,5.65557508957223
8.7,0.7,0.24,2.5,0.226,5,15,0.9991,3.32,0.6,9,4.79491259623
7.5,0.57,0.02,2.6,0.077,11,35,0.99557,3.36,0.62,10.8,5.72866049712
7.2,0.62,0.06,2.5,0.078,17,84,0.99746,3.51,0.53,9.7,5.05622808548313
8.6,0.49,0.29,2,0.11,19,133,0.9972,2.93,1.98,9.8,6.50506781609506
8,0.18,0.37,0.9,0.049,36,109,0.99007,2.89,0.44,12.7,6.65427236983718
6.8,0.67,0,1.9,0.08,22,39,0.99701,3.4,0.74,9.7,5.35208865180066
10.1,0.31,0.35,1.6,0.075,9,28,0.99672,3.24,0.83,11.2,6.37798932225415
7.3,0.45,0.36,5.9,0.074,12,87,0.9978,3.33,0.83,10.5,5.83498555301784
8.4,0.34,0.42,2.1,0.072,23,36,0.99392,3.11,0.78,12.4,6.69774395479839
8.8,0.41,0.64,2.2,0.093,9,42,0.9986,3.54,0.66,10.5,5.65557508957223
8.7,0.7,0.24,2.5,0.226,5,15,0.9991,3.32,0.6,9,4.79491259623
7.5,0.57,0.02,2.6,0.077,11,35,0.99557,3.36,0.62,10.8,5.72866049712
7.2,0.62,0.06,2.5,0.078,17,84,0.99746,3.51,0.53,9.7,5.05622808548313
8.6,0.49,0.29,2,0.11,19,133,0.9972,2.93,1.98,9.8,6.50506781609506
8,0.18,0.37,0.9,0.049,36,109,0.99007,2.89,0.44,12.7,6.65427236983718
6.8,0.67,0,1.9,0.08,22,39,0.99701,3.4,0.74,9.7,5.35208865180066
10.1,0.31,0.35,1.6,0.075,9,28,0.99672,3.24,0.83,11.2,6.37798932225415
7.3,0.45,0.36,5.9,0.074,12,87,0.9978,3.33,0.83,10.5,5.83498555301784
8.4,0.34,0.42,2.1,0.072,23,36,0.99392,3.11,0.78,12.4,6.69774395479839
8.8,0.41,0.64,2.2,0.093,9,42,0.9986,3.54,0.66,10.5,5.65557508957223
8.7,0.7,0.24,2.5,0.226,5,15,0.9991,3.32,0.6,9,4.79491259623
7.5,0.57,0.02,2.6,0.077,11,35,0.99557,3.36,0.62,10.8,5.72866049712
7.2,0.62,0.06,2.5,0.078,17,84,0.99746,3.51,0.53,9.7,5.05622808548313
7.9,0.58,0.23,2.3,0.076,23,94,0.99686,3.21,0.58,9.5,5.20206650090774
7.3,0.49,0.1,2.6,0.068,4,14,0.99562,3.3,0.47,10.5,5.69469201424498
8.2,0.6,0.17,2.3,0.072,11,73,0.9963,3.2,0.45,9.3,5.08530575454001
6.2,0.52,0.08,4.4,0.071,11,32,0.99646,3.56,0.63,11.6,5.94544123323263
8.9,0.59,0.39,2.3,0.095,5,22,0.9986,3.37,0.58,10.3,5.46000793762946
5.9,0.61,0.08,2.1,0.071,16,24,0.99376,3.56,0.77,11.1,5.84427938556199
6.8,0.915,0.29,4.8,0.07,15,39,0.99577,3.53,0.54,11.1,5.2679648339659
8.3,0.54,0.24,3.4,0.076,16,112,0.9976,3.27,0.61,9.4,5.17664945957757
10,0.29,0.4,2.9,0.098,10,26,1.0006,3.48,0.91,9.7,5.89514298459394
7.2,0.5,0.18,2.1,0.071,12,31,0.99761,3.52,0.72,9.6,5.47280952426414
9.9,0.25,0.46,1.7,0.062,26,42,0.9959,3.18,0.83,10.6,6.33174498694739
7.4,0.39,0.48,2,0.082,14,67,0.9972,3.34,0.55,9.2,5.27984062521099
9.4,0.685,0.11,2.7,0.077,6,31,0.9984,3.19,0.7,10.1,5.52426726568195
